joke,"He smiled thinly , savoring his joke ."
wagon,"Acey Squire's station wagon ."
claim,"Even now no such claim is asserted ."
blunted,"His own communication apparatus operated superbly , and Lillian Ross readers will note instantly its total lack of resemblance to the blunted , monumentally unmeshed mechanism of Dr. Blauberman ."
grovel,"What had he thought of , to go to John , grovel and beg understanding ?"
sulking,"He knew she was not sulking , not even angry at him ."
bestowal,"We expect bestowal of God's love through him ."
trough,"Their amplitude sometimes is as little as two feet from trough to crest ."
antibody,"One contained complete antibody and had a titer of 1 : 512 in saline ."
malice,"`` This deal at Las Putas Buenas where the two knife-men jumped you '' , said Rourke with interest , `` that sounds like it was set up with malice aforethought by the luscious Mrs. Peralta , doesn't it '' ?"
sponge,"One man sprayed , with a sponge in hand to check excess wetting ."
twinkle,"`` As my wife puts it '' , he said , again with a twinkle in his eyes , `` all you know is your music ."
hover,"She would hover over him and , looking like her brother , anxiously watch the progress of Scotty's fork or spoon ."
echoing,"The staircase itself seemed still to be echoing the heavy footfalls of many men ."
blanche,"How strange it was that he could give her this handsome house and carte blanche as to its beautiful furnishings , and fail her in -- spiritual ways ."
souvenir,"One evening he passed around the banquet table a crystal cup full of diamonds , requesting every female guest to select one as a souvenir ."
foiled,"Long observation has taught Mason that most landscape can be reduced to three essential planes : a foreground in sharp focus -- either a light area with dark accents or a dark one with lights ; ; a middle distance often containing the major motif ; ; and a background , usually a silhouetted form foiled against the sky ."
handiest,"Half the manhours you pay for on most jobs are wasted because the job was not planned right , so the right tools were not handy at the right place at the right time , or the right materials were not delivered to the handiest spots or materials were not stacked in the right order for erection , or you bought cheap materials that took too long to fit , or your workmen had to come back twice to finish a job they could have done on one trip ."
camping,"What does the camping couple do to this set of figures ?"
coastline,"The spectacular upsurge in pleasure boating is markedly evident , expectedly , in the areas where boats have always been found : the natural lakes , rivers , and along the nation's coastline ."
hope,"`` I hope so ."
takin,"`` Where're you takin' me '' ?"
thunk,"The thunk was louder , anyway , and I thought I heard bone crack ."
dangle,"She was carrying a quirt , and she started to raise it , then let it fall again and dangle from her wrist ."
eva,"Precise The reasons for this enchantment are numerous , but most of them end in `` ova '' , `` eva '' , or `` aya '' ."
bumped,"`` I bumped into a door handle '' , George said ."
outlawed,"`` Use of such weapons has been outlawed by the general opinion of civilized mankind ."
dampen,"To form spout , between two designs , dampen area slightly and gently push clay outward ."
livery,"Curt's visit to the livery stable had been merely a precaution in case anyone should be watching ."
skin,"The skin on his neck was tight ."
art,"Thou art God '' !"
rationed,"Gasoline and automobile tires were rationed commodities ."
davenport,"Wally was snoring on the davenport ."
gawky,"To people who didn't know her she was a gawky , badly dressed kid whose arms were too long , whose legs were a little too bony ."
tower,"`` There's a tower and a steeple on the church a million feet high ."
curing,"And unsheathing the knife she used for curing hides she stepped away from the lodge , holding the knife at her side ."
luster,"In a lacey open weave shoes have a luster finish , braided collar and bow highlight on the squared throat ."
swamp,"He said , and went out and cut his throat in the cave near Granny Day's swamp ."
chew,"Or the victim could chew hard on a piece of paper , meanwhile pressing his fingers tight in his ears ."
formed,"( or smaller ) panels formed of 0.080-in."
grouped,"A tabulation of these features permits the lungs to be grouped into three distinctive subgross types ."
brave,"`` You are very brave '' ."
motley,"This is a delightfully motley collection ."
cagey,"He was a cagey sonofabitch ."
vinyl,", reinforced plastics and rotationally molded vinyl plastisols are other materials frequently used ."
nighted,"Another body length or all the rest of his nighted life ?"
impulse,"Ready to follow her impulse ."
isolated,"An isolated case of quackery ?"
dope,"Police theorize that a combination of dope , drink and drugs killed her ."
sinful,"Many of them sincerely believe that the use of liquor in any form or in any degree is intrinsically evil and sinful ."
trap,"It is to be a trap ."
patched,"The form was swathed in an army blanket , much patched , fastened at the neck with a cord ."
consular,"The outstanding example was in Garibaldi And The Thousand , where he made use of unpublished papers of Lord John Russell and English consular materials to reveal the motives which led the British government to permit Garibaldi to cross the Straits of Messina ."
uphold,"Douglas has consistently voted to aid the people who killed Masaryk , and against principles Masaryk died to uphold ."
sign,"His wife didn't give a sign she'd heard ."
mat,"The plants took zero nights in their stride , with nothing but a mat of straw over the glass to protect them ."
secondly,"`` History has this in common with every other science : that the historian is not allowed to claim any single piece of knowledge , except where he can justify his claim by exhibiting to himself in the first place , and secondly to any one else who is both able and willing to follow his demonstration , the grounds upon which it is based ."
lying,"I knew she was lying ."
quam,"It overlooks the other fact that it is described as `` Nec minus salutaris quam festivus '' , `` no less salutary than gay '' ."
coupled,"The transducer is coupled to the body through a water bath , not shown ."
gunfire,"What else he said was lost in the rattle of gunfire on all sides ."
margin,"What's your profit margin ?"
relict,"After an unspeakable siege , lasting the better part of two months , it was announced that the studio `` owed '' the government a tax debt in excess of eight million dollars while I , who had always remained aloof from such iniquitous practices as paying taxes on the salary I had earned and the little I legally inherited as Morris' helpless relict , was `` stung '' with a personal bill of such astronomical proportions as to `` wipe out '' all but a fraction of my poor , hard-come-by savings ."
club,"`` Why not try another club '' ?"
furnace,"The cooling coil is located in the furnace's outlet ."
hotly,"Morgan hotly denied this and informed the Board of War that the men in camp linked the name of Peters with the plot against Washington ."
profane,"She wrote in her journal , `` I have not heard the least profane language since I have been on board the vessel ."
siphoned,"By now Harmony could see that most of the adults in the train were winded and resting , or else siphoned off from the games by the challenging lure of the great cliff towering above them ."
amounted,"It hadn't amounted to anything ."
waxy,"`` Transparent look , waxy skin -- could well be uremia '' ."
purled,"Where Cuddleback Brook purled into the Neversink was a magnificent swimming hole ."
brag,"They despise males who brag of their strength ; ; they destroy such men with their damned tests ."
credit,"Actually , you can take no special credit for this ."
producing,"As she worked she absentmindedly crooned , producing a curious sound ."
saute,"While this is baking , saute mushrooms , fresh or canned , in butter ."
senior,"Bobby Joe would be a senior this year , and he planned to graduate ."
lucy,"Ernie offered , taking the pint of sweet lucy from his jacket pocket ."
cistern,"With the second murder over , he could have left , hidden the weapon in some vacant lot or an abandoned cistern in the neighborhood ."
ably,"In contrast , the East is ably led by such stalwart heroes as Khrushchev , Tito , and Mao ."
thorny,"High up on the President's priority list was the thorny question of Bizerte ."
black,"Their world turned black ."
trip,"They will take a wedding trip later . '"
knight,"Grigorss , at seventeen , learns his story and goes forth as a knight to uncover his origins ."
boring,"Usually , this was done when attention was diverted by someone else's long , boring story ."
bigotry,"Nevertheless , we can find reasons for respecting even the bigotry of the populace ; ; their passions were genuine , and the division between them and the abolitionists is clear-cut ."
limped,"He limps , and the man who hit you and took the cane , he limped ."
buyer,"Boat prices vary according to the buyer's desires or needs ."
rightful,"Each of those tickets was of great value to its rightful recipient ."
trick,"What is the trick '' ?"
judgeship,"Mr. Simpkins will move into the post being vacated by Thomas B. Finan , earlier named Attorney General to succeed C. Ferdinand Sybert , who will be elevated to an associate judgeship on the Maryland Court of Appeals ."
major,"constructing major airports or dams ."
squeal,"The startled animal let out a terrified squeal and thrashed around in the stall ."
remain,"Must Berlin remain divided ?"
flocked,"Crowds flocked through the waterfront streets chattering loudly in their strange-sounding Bengali tongue ."
snare,"But it is becoming increasingly evident that such a hope is a snare ."
spit,"He spit ."
obstacle,"Financing emerged as the main obstacle ."
curbing,"`` He's there '' , he got out tersely , curbing his rising excitement ."
sore,"She was sore as a boil ."
junior,"Get Happy , junior '' !"
practised,"Everyone is ambivalent about his profession , if he has practised it long enough , but there were still moments when he loved the stage and all those unseen people out there , who might cheer you or boo you , but that was largely , though not entirely , up to you ."
snug,"Each completed locking bar should remain in place as the work progresses to insure snug fitting ."
orgy,"The characteristic thing about this church was its Amen corner and the weekly religious orgy ."
halting,"The Councilman , who is the Administration floor leader , also criticized Bernard L. Werner , public works director , for `` halting snow operations '' on Tuesday night after the Sunday storm ."
byinge,"( so in the MS ) or Receave money ther or brynge your money home yow maye see howe knite stockynges be sold ther ys gret byinge of them at Aysshom ."
roasted,"Coffee is made from the roasted and ground seeds of the coffee tree ."
nimbly,"Russ sprang through to bat it nimbly aside ."
shea,"Solid fats from the seeds of the mahua tree , the shea tree , and the coconut palm are used to make candles in tropical countries ."
lifeboat,"Already our leaky lifeboat was filled with five inches of water ."
braved,"He had braved the elements and the enemy , but the strain , aided by the winter , was catching up with him at last ."
lion,"Then the heavy roar of a lion ."
trace,"This old world lost all of its helium and trace gases long ago ."
parkish,"`` Yes , a little parkish place '' , Charlotte said , and concluded , `` Anyhow , it's all very nice ."
avowed,"Today Sukarno's government is heavily besieged by avowed Communists , and for all of its `` neutralist '' pretensions , it is a firm ally of Soviet policy ."
parchment,"The sharp wind slapped at him and his feet felt like ice as the snow penetrated the holes of his shoes , his only ones , now patched with folded parchment ."
least,"Or at least not to Joyce ."
paled,"She looked at the girl speculatively from eyes which had paled with the years ; ; from the early evening lights of them which had first startled Izaak to look at her in an uncousinly way , they had faded to a near-absence of color which had , possibly from her constant looking at the water , something of the light of the sea in them ."
stag,"Imagine a stag dinner with Toodle Williams '' ."
cosy,"But at long last came a time when I broke away from Mother and her society `` chi-chi '' in order to spend a cosy evening with Viola and her chaperon at her home ."
salvo,"When Littlepage was introduced , if the General behaved as usual , the newcomer faced a staccato salvo of queries : origin ?"
grated,"Hamburger patties with nuts 1 pound ground beef 2 teaspoons grated onion Dash of pepper 1/2 teaspoon salt 1/2 cup chopped walnuts 1/4 cup ice cold bourbon ."
routine,"It was the same old routine ."
retain,"We took the matches -- they were book matches and once they'd been touched might retain fingerprints -- and the change ."
luck,"Damn his luck ."
defy,"days at least from instant retaliation -- will defy the Party ."
cranky,"Beyond that misty gray of the rain , he saw the stretching hutment , low diminutive log cabins , chinked with mud , with doorways a man would have to crouch to get through , with roofs of tenting laid over boughs or boards from hardtack boxes , or fence rails , with cranky chimneys of sticks and dried mud ."
praised,"`` Nelson played magnificent football '' , Meek praised ."
foray,"Wade-Evans , in fact , denies that there were any Anglo-Saxon invasions at all other than a minor Jutish foray in A.D. 514 ."
muscled,"A friend of Pat's named Frank Sposato had just muscled into the Portwatchers' Union ."
turmoil,"If disobeyed , the result is turmoil and chaos ."
garbled,"Accounts were garbled at the telegraph office when they sent old George down to Parkersburg for the news ."
readily,"6 can readily be applied to this condition also ."
overlaid,"An alternate roof , perhaps more within do-it-yourself reach , could be constructed of heavy wooden roof beams , overlaid with boards and waterproofing ."
blasphemy,"John's first impulse was to denounce their blasphemy ."
span,"Accordingly , the ' functions ' Af span the space of solutions of Af ."
bored,"I believe TV watchers will be bored ."
dispatch,"The dispatch must have been sent after sundown on September 1 ."
lineup,"Nieman kept in lineup ."
housed,"But he insisted that it be housed in a special museum ."
romping,"Then they had always been romping around him on these walks , yelping with delight , dashing off into the bushes on fruitless hunting expeditions , returning to jump up on him triumphantly with muddy paws ."
glum,"They were silent for a little while , each looking glum ."
profusely,"We pulled and swore and yanked and wept , scraping our hands until they bled profusely ."
musket,"They had stripped him of his musket and equipment , and now they were pulling his boots and jacket off ."
township,"The Reverend James Doran had scarcely completed Pat Conyers' last rites on Boot Hill in the township of Petrie , when shots were heard in the distance ."
stained,"It had never been stained with blood ."
broth,"She was ready to kill the beef , dress it out , and with vegetables from her garden was going to can soup , broth , hash , and stew against the winter ."
sind,"Die Frist ist um , und wiederum verstrichen sind sieben Jahr , the Maestro quoted The Flying Dutchman , as he told of his career and wanderings , explaining that the number seven had significantly recurred in his life several times ."
sine,"The sine qua non of the elections was naturally an impartial and standardized procedure ."
shear,"This gives a rate of shear of Af ."
yachtel,"Boatel has a similar meaning to yachtel ."
domain,"Until 1924 O'Banion pistoleers and knuckle-duster bullyboys had kept his North Side domain solidly Democratic ."
hurled,"They picked up sticks and hurled them at the girl ."
foamed,"The beer foamed furiously ."
fairly,"I found it fairly depressing and emerged almost immediately ."
behind,"Brakes shrieked behind us ."
spoke,"He spoke softly ."
bide,"They would have to bide their official time and see , trusting that the massive doses of shell-psychology would suffice her , too , as the necessary bulwark against her unusual confinement and the pressures of her profession ."
closeup,"Samples zoomed into closeup range in regular succession , like telephone poles passing on the highway , while representative music reinforced the mood of the late teens and 1920's ."
despot,"The immediate families of the generals and the admirals are well fed : a despot does not economize on his generals ."
audible,"The kid hit the bigger man with an audible thwump !"
syntax,"The description of the Siddo syntax was very restricted ."
complexity,"But automation and the increasing complexity of factories has renewed the competition for jobs ."
habe,"But I usually stick to the old phrase : ' Ich habe ein Amt , aber keine Meinung ( I hold an office , but I do not feel entitled to have an opinion ) ."
washer,"A domestic automatic washer that will give equivalent results may be used ."
hut,"This was the hut of Simms Purdew , the hero ."
lashed,"Her tail no longer lashed ."
richest,"The Bishop of Gloucester described the elder Thomas in 1577 as the richest recusant in his diocese , worth five hundred pounds a year in lands and goods ."
arid,"The extreme limitations he sensed in all current abstract art made that seem to him increasingly arid and cold ."
slaughter,"Caution : Discontinue medication 48 hours before slaughter ."
tab,"That made up for the `` best '' motel in Norman , Okla. , where the proprietor knocked $2 off the $8.50 tab when we found ants in the pressed-paper furniture ."
left,"He left us ."
aplomb,"Somewhat to his surprise he found that one girl , whom he would never have considered for the job since she had appeared somewhat mousy and also had been in the office a relatively short time , did the most outstanding job of playing the role of receptionist , showing wit , sparkle , and aplomb ."
redcoat,"The redcoat officer collapsed like a punctured bolster , and the horse reared and threw him from the saddle , except that one booted foot caught in the stirrup ."
jar,"Remove jar from mold ."
bygone,"By trying to be both a serious survey of a bygone era and a showcase for today's artists , the program turned out to be a not-quite-perfect example of either ."
streak,"More than a streak had ended ."
stable,"Violet whinnied from the stable ."
triangle,"Though , taken individually , the big rooms were , or seemed to be , square , the apartment as a whole formed a triangle ."
posted,"Gains of 2-3/4 were posted for Teleprompter and Republic Foil ."
conspire,"Refrigeration , automated processing and packaging conspire to defy season and banish spoilage ."
beat,"I'll beat it ."
fluoride,"Similar measurements are being initiated to resolve a large discrepancy in the heat of formation of another important combustion product , beryllium fluoride ."
spare,"`` That's my spare bedroom ."
overlay,"A relative newcomer in outdoor signs is Mylar polyester film , now used as a printed overlay for trans-illuminated signs ( see below ) ."
gosh,"But , by gosh , I want him and I'm going to have him !"
proving,"Off-Broadway , where production is still comparatively cheap , is proving itself only slightly more original ."
firma,"But time is running out , and many of Stravinsky's admirers begin to fear that he will never find terra firma ."
diem,"Districts issue Legislators always get restless for a special session ( whether for the companionship or the $22.50 per diem is not certain ) and if they start agitating ."
friable,"On the surface of the right kidney there were also 2 yellow , firm , friable raised areas measuring up to 2 cm."
disfavor,"A number of them must have fallen into disfavor ; ; they were struck out with remarks in red ink , denouncing both the cooks and the management ."
jailed,"He was jailed and banished ."
shoulder,"Mercer squeezed the man's shoulder ."
trickle,"On the other hand , looking at the larger picture , is it true that pupil assignment has effectively cut off , blocked , or reduced school desegregation to a `` trickle '' ?"
toxin,"Botulinal toxin , for example , is several thousand-fold more toxic by this route than when given per os ."
exacting,"As early as 1900 a Wall Street combination acquired detail patents with the intention of exacting heavy tribute from automobile manufacturers ."
sexy,"Her legs were the full , sexy kind , full bodied like a rare wine and just as tantalizing to the appetite ; ; the calf was magnificent , the ankle perfect ."
consume,"In this same society , the plain citizen can with an average of only one-fifth his income buy more calories than he can consume ."
wolde,"A report of Sr. Edw Grevyles minaces to the Baileefe Aldermen & Burgesses of Stratforde '' tells how Quiney was injured by Greville's men : `` in the tyme Mr. Ryc' Quyney was bayleefe ther came some of them whoe beinge druncke fell to braweling in ther hosts howse wher thei druncke & drewe ther dagers uppon the hoste : att a faier tyme the Baileefe being late abroade to see the towne in order & comminge by in hurley burley came into the howse & commawnded the peace to be kept butt colde nott prevayle & in hys endevor to sticle the brawle had his heade grevouselye brooken by one of hys ( Greville's ) men whom nether hymselfe ( Greville ) punnished nor wolde suffer to be punnished but with a shewe to turne them awaye & enterteyned agayne '' ."
asked,"I asked ."
cried,"I cried ."
unpaved,"The street was unpaved and rose steeply toward the center ; ; it was mud in wet weather and dust , ankle-deep , in dry , and could be crossed only at the corner where there were stepping stones ."
lengthy,"As an example of this last facet , there were some lengthy discussions centered around bereavement ."
garb,"In their maneuvers last month , they wore World War 2 , camouflage garb and helmets , and carried unloaded M-1 rifles ."
bay,"It has held them at bay ."
atrophy,"Microscopically , there was hyperemia of the central veins , and there was some atrophy of adjacent parenchyma ."
puritan,"A variety of data are assembled to bear upon such alleged changes as diminished puritan morality , work-success ethic , individualism , achievement , lessened emphasis on future-time orientation in favor of sociability , moral relativism , consideration and tolerance , conformity , hedonistic present-time orientation ."
expulsion,"If any had escaped expulsion by hiding , they certainly would not frequent the market-place ."
got,"Cobb got it ."
conjugate,"( 3 ) In other experiments the indirect conjugate was treated with 3 volumes of ethyl acetate as recommended by Dineen and Ade ( 1957 ) ."
maturing,"Is it not the obligation of us older citizens to lend our weight to being creative on the character side and to hasten our own maturing process ?"
dust,"Wilson brushed the dust from his coat ."
bisque,"No bisque firing ."
skywave,"3.190 of the rules ) giving average skywave values ."
firebug,"Sulphur , oil , and copra make the kind of tinder any firebug dreams of ."
thicken,"But isn't this nice '' With this he felt his lips thicken and his mind go slack ."
lost,"Solid , settled lost ."
squared,"Maybe it's taking longer to get things squared away than the bankers expected ."
roaming,"Angelina stepped back , her eyes roaming the tray for omissions ."
crumble,"I felt my frozen sad face crumble , and I grinned a silly one I couldn't have helped ."
incest,"And the best way to conceal and disguise the elements of an incest story is not to set out to write an incest story ."
depict,"The contemporary painter tends to depict not the concrete objects of his experience but their essences as revealed in abstractions of their lines , colors , masses , and energies ."
thefin,"I think you made a dam good chouise to turn off as nise a feler as Alf Dyer and let that orney thefin , drunkard , damed card playing sun of a bich com to sea you , the god damed theaf and lop yeard pigen tode helion , he is too orney for hel ."
quicker,"The sooner you act like an angel the quicker you'll feel angelic ."
racket,"Isn't his racket down your alley '' ?"
brewing,"Seeds are the essential raw materials for milling grain , baking , crushing oilseed , refining edible oil , brewing , distilling , and mixing feed ."
advise,"`` Would you advise us to act the same way ?"
conpired,"Proof lack charged Schwab also declared there is no proof of Weinstein's entering a conspiracy to use the U.S. mails to defraud , to which federal prosecutor A. Lawrence Burbank replied : `` It is not necessary that a defendant actually have conpired to use the U.S. mails to defraud as long as there is evidence of a conspiracy , and the mails were then used to carry it out '' ."
ringed,"The camp was a cluster of aluminum bubbles , ringed with a spy web to alert the Earthmen to the approach of any being ."
pilot,"The pilot had been good ."
jalopy,"Shortly before nine I drove my jalopy to the street facing the Lake and parked the car in shadows far enough away from the rendezvous corner but near enough to keep the corner in clear view ."
mica,"It must be remembered that the fiber plates replace a glass window and a ( mica ) membrane , in addition to an optical output lens system ."
posture,"It gave her poise and posture ."
pastel,"New Jersey's color varies from staccato to pastel all the way from the Delaware Water Gap to Cape May ."
roped,"He raced by within twenty feet of her , roped her around the neck , but a lioness' neck is short and thick and with a quick twist she slipped the noose off ."
forge,"A variety of hand movements helps dramatize the moral climate of the fallen world Pip encounters beyond the forge ."
est,"`` There was also Gott strafe Angleterre '' , Moreland reminded me , `` and Carthago delenda est , or if you will , Deus strafe Carthage ."
matrix,"A set of tables containing spectral intensities for 39,000 lines of 70 elements , as observed in a copper matrix in a d-c arc , was completed and published ."
naive,"This seems naive ."
nastier,"Now , of course , that the Russians are the nuclear villains , radiation is a nastier word than it was in the mid , when the US was testing in the atmosphere ."
thorn,"Sleepy-eyed , soft-spoken Johnson , Biggest thorn in my side of the whole fucken squad ."
broil,"Of course it was water he really craved ; ; down in the broil of the sun he was becoming dried out ."
recoil,"I recoil from the very thought ."
ranged,"This is the year home runs ranged from the sublime to the ridiculous ."
boatsmen,"In the Southwest , the fall brings out flotillas of boatsmen who find the summer too hot for comfort ."
chunk,"Ramey reached out with the tire iron and dislodged a chunk of mud that was caked on the spare tire rack ."
god,"The new birth is necessary because god is holy ."
grey,"She wore grey every day , and white every evening ."
launched,"How and when should the Peace Corps be launched ?"
clamored,"TASS from Moscow in English to Europe : `` The American press clamored for many days promising President Kennedy would reply to the most vital domestic and foreign problems confronting the United States ."
walnut,"The spider-leg pedestal table has a base finished in an ebony , to set off the lustrous brown of the walnut top ."
husband,"My husband is in great pain ."
talker,"To the trained ear of the linguist , talk has always revealed a staggering quantity of information about the talker -- such things as geographical origin and/or history , socio-economic identity , education ."
angel,"The sooner you act like an angel the quicker you'll feel angelic ."
comrade,"Dropping to one knee , Cook felled one , and the other struggled off with his comrade , sending no further fire in his direction ."
hasten,"Parkway courtesy to the editor : Sir -- I hasten to join in praise of the men in the toll booths on the Garden State Parkway ."
junta,"Gen. Gursel has headed the military junta the last 17 months ."
plaque,"Round plaque ( opposite page , bottom ) : White clay was used , rolled to 1/4'' '' thickness ."
exogamy,"By their pattern of endogamy and exogamy , the core families and the marginal families show distinct limits to the intergroup contact they maintain ."
usable,"His English was usable and he used it fearlessly ."
psyche,"Like almost everybody else , he confused the heart , both as organ and as symbol , with the disturbed psyche , the deranged glands , and the jumpy central nervous system ."
warping,"A cardboard pattern cut to fit inside holder will help to prevent warping ."
mystical,"But very mystical too ."
lasting,"The only lasting difficulty was the food ."
cathode,"The transpiring gas ejected from the anode formed a jet directed axially towards the cathode below ."
pithy,"A biting , pithy parable of the all-pervading hollowness of modern life , the piece has been set by Mlle Lagoon to a sumptuous score ( a single motif played over and over by four thousand French horns ) by existentialist hot-shot Jean-Paul Sartre ."
minute,"Wait a minute ."
vary,"These studies vary widely in scope and precision ."
vow,"Mantle has kept the vow ."
pricked,"It was Giselle , the fille de chambre , come to clean the room , and while she stood before him with ears pricked up and regard all curiosity , explaining her errand , Alex could see from the corner of his eye the doctor doing all he could to calm the displeased bird ."
joyride,"Anybody who is expecting a joyride should , according to Mr. Shriver , get off the train right now ."
chest,"I found his chest in my sights ."
publisher,"The two volumes are available from the publisher for $16.80 and $28.00 , respectively ."
splintery,"I started looking on the splintery truck bed for a piece of board , a dirt clod -- anything I could throw and with better aim than I had thrown the beer bottle ."
hue,"And now , of course , the hue and cry for counter-escalation is being raised on our side ."
insult,"It was meant to insult him , and didn't quite succeed ."
projecting,"And projecting wickedly through these curtains were the gleaming muzzles of six rifles , all trained on Billy Tilghman ."
buxom,"Tall , blonde , blue-eyes , fair , buxom without being heavy , she cut a fine figure of budding womanhood as she swished among the pupils in her fresh , starched summer dress ."
hopeful,"But it was a hopeful sign , he told himself ."
hated,"Both hated Donald Kruger ."
sex,"Elemental , but sex ."
glisten,"He looked off to the crest of the Sierras , still white-topped ; ; the glisten of the Truckee River made a wide spangle ."
chortling,"He heard himself chortling ."
limbo,"Because they are `` minority '' exercises and have but a limited appeal they soon find themselves in the limbo of the forgotten ."
inboard,"Just as it was being hauled inboard , a sea hit the ship ."
whisked,"As he neared the square , a round figure muffled in a long , black cape whisked by ."
lone,"In the street , walking as quickly as he could , Stanley Gilborn was a lone figure ."
woman,"`` Is it a woman '' ?"
horseplay,"But fenced or unfenced , no pool-side is the place for running or horseplay ."
final,"A final word ."
bunk,"Waddell came back from the door and sat on a bunk ."
canister,"He picked up the powder canister and ran out ."
royal,"For drugs are in themselves no royal road to creativity ."
giveth,"In his heart he had that peace of which the Lord spoke when He said , `` Peace I leave with you , my peace I give unto you : not as the world giveth , give I unto you ."
amuse,"To Abel : `` I am afraid there is not much to amuse small children here ."
quaking,"It was Dandy Brandon , clad only in a bloody loincloth , emaciated and quaking as if the devil were breathing hard on him ."
twinge,"Haney felt a twinge of annoyance when he heard the now familiar line again ."
hotel,"The hotel owner shrugged ."
wrest,"There can be no greater magic than to wrest from death her in whom the flesh was all , in whom beauty was entirely pure because it was entirely corruptible ."
prying,"They surged around him , fingers pointing , eyes prying ."
scaring,"I wish you luck when you try scaring that kid '' ."
rained,"It might have rained , any time ; ; only -- it did not ."
combed,"David finished shaving , washed his face clean of lather , and combed and retied his hair ."
goat,"But the goat would not ."
shocked,"She was shocked ."
famine,"Shall tribulation , or distress , or persecution , or famine , or nakedness , or peril , or sword '' ?"
sago,"Seeds of the sago palm are used in Bermuda to make heads and faces of dolls sold to tourists ."
fire,"Hold your fire '' !"
shift,"Geographic shift of customers ."
peltry,"During the first administration of Bienville , the peltry trade of the Mobile district was a lucrative source of revenue ."
age,"The age of the moon was about 2 days ."
polity,"The basic unit in the church , of whatever denominational polity , is always the congregation ."
granted,"It was a nice day , granted ."
found,"Nothing was found ."
fainted,"The attempt had failed because , when endeavoring to cut his wrists , this murderer of seven women had fainted at the sight of blood ."
cheaply,"The Alabama and Tombigbee rivers furnished a highway by which goods could be moved quickly and cheaply ."
harm,"I meant him no harm ."
wetly,"She smiled at him wetly ."
ambushed,"He saw them ambushed , strewn in the postures of the broken and the dying ."
gamut,"Styles run the gamut from slender and tapered with elongated toes to a newer squared toe shape ."
lute,"Small , shirt-sleeved orchestras play in 2/4 or 4/4 time , using guitars , violins , and more alien instruments with names that would open Sesame : the oud , grandfather of the lute ; ; the darbuka , a small drum with the treelike shape of a roemer glass ; ; the def , a low-pitched tambourine ."
recital,"The London label offers an operatic recital by Ettore Bastianini , a baritone whose fame is international ."
onleh,"Mrs. Roebuck smilingly declined and began suddenly to go on about her son , who was `` onleh a little younguh than you bawhs '' ."
jumble,"Warren tried to shake off the jumble of his fears by looking at the sky ."
baptism,"This was the Greek word most often translated as `` baptism '' ."
pane,"And a pane of glass isn't hard to '' -- The telephone interrupted him ."
sporting,"Say three minutes to make it sporting ."
draughty,"He ate what he felt like , slept as much or as little as he pleased , and moved about the draughty rooms of the house , when he was not in bed , with slow , dubious steps , like an elderly tourist in a cathedral ."
warmth,"She radiated warmth and good fellowship ."
soiled,"Greases , stains , and miscellaneous soils are usually sorbed onto the soiled surface ."
perky,"Pansies are supposed to like it cool , but those great velvety flowers were healthy and perky in the glaring sun ."
throw,"I can't throw ."
wed,"As we bulletin'd way back , he'll wed pretty Rosemary Strafaci , of the Golf Mag staff , in N. Y. C. today ."
nickel,"For all meteorites , the average nickel content is about 2.5 per cent ."
whisky,"Did you get the whisky '' ?"
germinal,"And if I have gone into so much detail about so small a work , that is because it is also so typical a work , representing the germinal form of a conflict which remains essential in Mann's writing : the crude sketch of Piepsam contains , in its critical , destructive and self-destructive tendencies , much that is enlarged and illuminated in the figures of , for instance , Naphta and Leverkuhn ."
taxed,"The war to subdue them taxed the resources of the colony and piled up enormous debts ."
helping,"He's past helping ."
plucking,"Perhaps the mere fact that by plucking on the nerves nature can awaken in the most ordinary of us , temporarily anyway , the sleeping poet , and in poets can discover their immortality , is the most remarkable of all the remarkable phenomena to which we can attest ?"
herding,"These were the ships of His Majesty's Navy , herding the hulks of the East Indies merchants and the yachts and ketches of the loyalists ."
sluice,"He let down the tailgate and was knocked over by the sluice of water ."
foe,"`` America gave generously in economic aid and military equipment to friend and foe alike '' ."
bishopry,"Even Rector himself was prey to this spirit of competition and he knew it , not for a more exalted office in the hierarchy of the church -- his ambitions for the bishopry had died very early in his career -- but for the one clear victory he had talked about to the colonel ."
soybean,"The residue from soybean processing goes mainly into animal feeds ."
bolted,"The buckskin bolted out of the stall ."
gasket,"This volume is added to the total volume of the combustion chamber and head gasket opening ."
eighty,"These frescos have had no care for eighty years ."
graze,"There was brush , and stands of pine that no grass could grow under , and places so steep that cattle wouldn't stop to graze ."
couple,"A couple of hundred ."
folk,"This was not a program intended to illustrate authentic folk styles ."
madly,"He dashed madly for the next elbow turn in the draw , and made it ."
backed,"The mare had backed away ."
demography,"Before considering more recent activities , we should note another important aspect of demography in Belgian Africa ."
sewn,"Backstitching seam to sew seams with backstitch : Most seams are sewn with backstitch , especially on curved , slanted or loose edges ."
adjusting,"This is an inherent part of adjusting fiscal calendars ."
groundwave,"groundwave contours against daytime cochannel interference ."
coldest,"Dawn would come soon and the night was at its coldest ."
loused,"A phony blonde hanging onto a bygone youth and beauty , but irreparably stringy in the neck , she was already working on her second gin and tonic , though it was not yet ten A.M. `` I loused it '' , Rob said , with a savage note in his voice ."
brynge,"( so in the MS ) or Receave money ther or brynge your money home yow maye see howe knite stockynges be sold ther ys gret byinge of them at Aysshom ."
